Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status,Year 
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,2017-10-02,Offline,65,Not_Canceled,2017
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,2018-11-06,Online,106.68,Not_Canceled,2018
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,2018-02-28,Online,60,Canceled,2018
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,2018-05-20,Online,100,Canceled,2018
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,2018-04-11,Online,94.5,Canceled,2018
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,2018-09-13,Online,115,Canceled,2018
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,2017-10-15,Online,107.55,Not_Canceled,2017
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,2018-12-26,Online,105.61,Not_Canceled,2018
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,2018-07-06,Offline,96.9,Not_Canceled,2018
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,2018-10-18,Online,133.44,Not_Canceled,2018
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,2018-09-11,Online,85.03,Not_Canceled,2018
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,2018-04-30,Online,140.4,Not_Canceled,2018
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,2018-11-26,Online,88,Canceled,2018
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,2018-11-20,Online,90,Canceled,2018
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,2017-10-20,Online,94.5,Not_Canceled,2017
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,2018-06-15,Online,115,Canceled,2018
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,2017-10-05,Offline,96,Not_Canceled,2017
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,2017-08-10,Online,96,Not_Canceled,2017
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,2017-10-30,Online,65,Canceled,2017
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,2017-10-04,Offline,72,Not_Canceled,2017
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,2017-10-30,Online,65,Canceled,2017
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,2018-11-25,Corporate,67,Not_Canceled,2018
INN00023,2,0,2,4,Meal Plan 1,Room_Type 1,2,2018-03-20,Offline,85,Not_Canceled,2018
INN00024,2,0,0,3,Meal Plan 1,Room_Type 1,37,2018-10-13,Offline,105,Not_Canceled,2018
INN00025,2,0,2,1,Not Selected,Room_Type 1,130,2018-05-22,Online,94.5,Not_Canceled,2018
INN00026,2,0,0,2,Meal Plan 1,Room_Type 1,99,2018-04-28,Online,114.3,Not_Canceled,2018
INN00027,2,0,1,1,Meal Plan 1,Room_Type 1,60,2017-09-21,Offline,65,Not_Canceled,2017
INN00028,1,0,0,2,Meal Plan 1,Room_Type 4,2,2018-05-19,Aviation,110,Canceled,2018
INN00029,1,0,1,2,Meal Plan 1,Room_Type 1,37,2017-11-06,Online,37.33,Canceled,2017
INN00030,2,0,0,2,Meal Plan 2,Room_Type 1,56,2017-09-17,Offline,82,Not_Canceled,2017
INN00031,2,0,1,1,Meal Plan 1,Room_Type 4,3,2017-09-19,Online,177.5,Not_Canceled,2017
INN00032,2,0,2,2,Meal Plan 1,Room_Type 1,107,2018-11-13,Online,87.5,Not_Canceled,2018
INN00033,0,2,0,3,Meal Plan 1,Room_Type 2,56,2018-12-07,Online,82.44,Not_Canceled,2018
INN00034,2,0,0,1,Not Selected,Room_Type 1,2,2018-01-09,Online,69.5,Not_Canceled,2018
INN00035,2,0,0,2,Meal Plan 1,Room_Type 1,72,2018-10-07,Offline,85.5,Not_Canceled,2018
INN00036,2,0,0,1,Not Selected,Room_Type 1,23,2018-04-27,Online,115,Not_Canceled,2018
INN00037,1,0,2,1,Meal Plan 1,Room_Type 1,34,2018-06-19,Online,81,Canceled,2018
INN00038,2,0,0,1,Meal Plan 1,Room_Type 1,289,2017-10-17,Offline,67,Not_Canceled,2017
INN00039,2,0,2,3,Not Selected,Room_Type 1,247,2018-11-19,Online,63.75,Canceled,2018
INN00040,2,0,2,1,Meal Plan 1,Room_Type 4,186,2018-07-30,Online,121.8,Canceled,2018
INN00041,2,0,0,4,Meal Plan 1,Room_Type 1,64,2018-11-01,Online,93.6,Not_Canceled,2018
INN00042,2,0,0,2,Meal Plan 1,Room_Type 1,35,2018-06-21,Online,102,Not_Canceled,2018
INN00043,3,0,2,1,Meal Plan 1,Room_Type 1,96,2018-04-10,Online,121.8,Not_Canceled,2018
INN00044,2,0,1,1,Not Selected,Room_Type 1,41,2018-06-27,Online,98.1,Canceled,2018
INN00045,2,0,0,4,Meal Plan 1,Room_Type 4,55,2017-11-18,Offline,60,Not_Canceled,2017
INN00046,2,0,0,3,Meal Plan 1,Room_Type 1,146,2017-12-29,Offline,75,Not_Canceled,2017
INN00047,1,0,0,2,Meal Plan 1,Room_Type 1,32,2017-11-20,Offline,73,Not_Canceled,2017
INN00048,2,0,0,1,Meal Plan 2,Room_Type 1,55,2018-04-06,Offline,104,Not_Canceled,2018
INN00049,2,0,0,4,Not Selected,Room_Type 1,57,2018-11-01,Online,79.2,Not_Canceled,2018
INN00050,1,0,1,3,Meal Plan 1,Room_Type 4,7,2018-12-29,Online,125.8,Not_Canceled,2018
INN00051,1,0,2,5,Not Selected,Room_Type 1,124,2018-05-30,Online,87.95,Not_Canceled,2018
INN00052,2,0,2,2,Meal Plan 2,Room_Type 1,169,2018-04-22,Online,106,Canceled,2018
INN00053,1,0,1,2,Meal Plan 1,Room_Type 1,6,2018-05-16,Online,136.67,Not_Canceled,2018
INN00054,2,0,0,4,Meal Plan 1,Room_Type 4,51,2017-11-11,Offline,60,Not_Canceled,2017
INN00055,2,0,1,0,Not Selected,Room_Type 1,13,2018-06-13,Online,89,Not_Canceled,2018
INN00056,2,0,1,3,Meal Plan 1,Room_Type 1,100,2018-05-19,Online,136,Not_Canceled,2018
INN00057,2,0,0,1,Not Selected,Room_Type 1,139,2018-07-28,Online,94.5,Not_Canceled,2018
INN00058,2,0,1,2,Meal Plan 1,Room_Type 1,117,2018-12-26,Online,93.6,Not_Canceled,2018
INN00059,2,0,1,4,Meal Plan 1,Room_Type 4,39,2018-04-20,Online,120.6,Canceled,2018
INN00060,2,0,0,3,Meal Plan 1,Room_Type 4,86,2018-04-06,Online,99.3,Not_Canceled,2018
INN00061,2,2,0,1,Meal Plan 1,Room_Type 6,2,2018-09-02,Online,258,Not_Canceled,2018
INN00062,1,0,0,3,Meal Plan 1,Room_Type 4,19,2018-05-03,Online,120.12,Not_Canceled,2018
INN00063,1,0,0,2,Meal Plan 1,Room_Type 1,192,2018-06-24,Offline,95,Not_Canceled,2018
INN00064,1,0,0,1,Meal Plan 1,Room_Type 1,2,2017-09-10,Complementary,0,Not_Canceled,2017
INN00065,2,0,2,1,Meal Plan 1,Room_Type 1,86,2018-12-18,Offline,75,Not_Canceled,2018
INN00066,2,0,0,3,Meal Plan 1,Room_Type 4,30,2018-10-05,Online,157.5,Not_Canceled,2018
INN00067,2,0,0,2,Meal Plan 1,Room_Type 4,179,2018-06-03,Online,97.7,Not_Canceled,2018
INN00068,2,0,0,2,Meal Plan 1,Room_Type 4,26,2018-04-15,Online,142,Canceled,2018
INN00069,2,0,0,1,Meal Plan 1,Room_Type 1,55,2018-04-06,Offline,80,Not_Canceled,2018
INN00070,2,0,1,2,Meal Plan 1,Room_Type 1,74,2018-04-25,Online,85.5,Not_Canceled,2018
INN00071,2,0,0,3,Meal Plan 1,Room_Type 1,143,2018-08-25,Offline,100,Not_Canceled,2018
INN00072,2,0,1,0,Not Selected,Room_Type 1,34,2018-11-14,Online,88,Not_Canceled,2018
INN00073,2,0,1,1,Meal Plan 1,Room_Type 1,30,2018-08-29,Online,122.85,Not_Canceled,2018
INN00074,2,0,0,2,Meal Plan 1,Room_Type 1,177,2018-06-03,Online,100,Canceled,2018
INN00075,2,0,2,3,Meal Plan 1,Room_Type 4,34,2017-10-25,Offline,75,Not_Canceled,2017
INN00076,2,0,1,4,Meal Plan 1,Room_Type 4,18,2018-03-09,Online,116.8,Not_Canceled,2018
INN00077,3,0,1,1,Meal Plan 1,Room_Type 4,267,2018-12-31,Online,121.5,Not_Canceled,2018
INN00078,2,0,1,2,Meal Plan 1,Room_Type 1,64,2018-06-27,Online,111.9,Not_Canceled,2018
INN00079,3,0,2,5,Meal Plan 1,Room_Type 4,155,2018-06-28,Online,121.55,Canceled,2018
INN00080,2,0,0,5,Meal Plan 1,Room_Type 1,46,2018-03-29,Offline,75,Not_Canceled,2018
INN00081,2,2,0,2,Meal Plan 1,Room_Type 6,83,2018-04-01,Online,159.3,Canceled,2018
INN00082,2,0,0,5,Meal Plan 1,Room_Type 4,128,2018-10-11,Online,132.3,Canceled,2018
INN00083,2,0,2,0,Not Selected,Room_Type 1,20,2018-12-25,Online,88,Not_Canceled,2018
INN00084,2,0,1,4,Meal Plan 1,Room_Type 4,40,2018-03-14,Online,98.82,Not_Canceled,2018
INN00085,2,0,1,2,Meal Plan 1,Room_Type 4,46,2018-03-04,Online,98.3,Not_Canceled,2018
INN00086,1,0,1,0,Meal Plan 1,Room_Type 1,1,2018-10-17,Online,150,Not_Canceled,2018
INN00087,2,0,2,3,Not Selected,Room_Type 1,196,2018-09-04,Online,96.05,Not_Canceled,2018
INN00088,1,0,0,2,Meal Plan 1,Room_Type 1,188,2018-06-15,Online,130,Canceled,2018
INN00089,2,0,0,1,Not Selected,Room_Type 1,17,2018-12-10,Online,95,Not_Canceled,2018
INN00090,2,0,0,3,Meal Plan 1,Room_Type 5,146,2018-08-09,Offline,113.56,Not_Canceled,2018
INN00091,2,0,1,3,Not Selected,Room_Type 1,110,2018-05-05,Online,101.58,Not_Canceled,2018
INN00092,2,0,1,2,Meal Plan 1,Room_Type 1,68,2018-03-18,Online,105.3,Not_Canceled,2018
INN00093,2,0,2,1,Meal Plan 1,Room_Type 4,73,2018-04-09,Online,115.8,Not_Canceled,2018
INN00094,2,0,0,1,Meal Plan 1,Room_Type 4,92,2018-05-19,Online,149.4,Not_Canceled,2018
INN00095,2,0,2,5,Meal Plan 1,Room_Type 1,171,2018-08-30,Online,111.59,Canceled,2018
INN00096,2,1,0,2,Meal Plan 1,Room_Type 1,134,2018-08-04,Online,130.5,Not_Canceled,2018
INN00097,2,0,0,2,Meal Plan 2,Room_Type 1,320,2018-08-18,Online,115,Canceled,2018
INN00098,2,0,0,4,Meal Plan 1,Room_Type 1,118,2018-04-13,Online,90.95,Not_Canceled,2018
INN00099,2,0,0,3,Meal Plan 1,Room_Type 1,30,2018-11-17,Online,76.08,Not_Canceled,2018
INN00100,2,2,1,3,Meal Plan 1,Room_Type 6,30,2018-12-22,Online,156.9,Not_Canceled,2018
INN00101,2,0,1,0,Not Selected,Room_Type 1,189,2018-10-23,Online,85.5,Not_Canceled,2018
INN00102,3,0,1,2,Meal Plan 1,Room_Type 4,55,2018-05-13,Online,159.3,Not_Canceled,2018
INN00103,1,0,0,4,Meal Plan 1,Room_Type 1,55,2018-12-13,Online,74.8,Not_Canceled,2018
INN00104,2,0,0,1,Meal Plan 1,Room_Type 1,16,2017-10-31,Online,95,Not_Canceled,2017
INN00105,2,0,0,3,Meal Plan 1,Room_Type 1,24,2017-10-08,Online,107,Not_Canceled,2017
INN00106,2,0,0,3,Meal Plan 1,Room_Type 1,8,2018-02-16,Offline,64,Not_Canceled,2018
INN00107,2,0,1,4,Meal Plan 1,Room_Type 1,10,2017-11-02,Online,82.95,Not_Canceled,2017
INN00108,2,0,1,3,Meal Plan 1,Room_Type 4,0,2017-09-21,Online,155,Not_Canceled,2017
INN00109,2,0,0,1,Not Selected,Room_Type 1,12,2018-06-30,Online,101.68,Not_Canceled,2018
INN00110,2,0,2,1,Meal Plan 1,Room_Type 1,32,2017-09-05,Online,94.5,Not_Canceled,2017
INN00111,2,0,0,2,Meal Plan 1,Room_Type 1,182,2018-09-30,Online,117.9,Canceled,2018
INN00112,2,0,1,0,Not Selected,Room_Type 1,1,2018-06-27,Online,127,Not_Canceled,2018
INN00113,2,0,0,3,Not Selected,Room_Type 1,122,2018-06-16,Online,116.1,Not_Canceled,2018
INN00114,2,0,2,3,Meal Plan 1,Room_Type 1,40,2018-06-30,Online,117.9,Not_Canceled,2018
INN00115,2,2,2,2,Meal Plan 1,Room_Type 2,116,2018-06-26,Online,184.24,Canceled,2018
INN00116,3,0,2,2,Meal Plan 1,Room_Type 4,123,2018-08-13,Online,155.7,Not_Canceled,2018
INN00117,3,0,2,5,Meal Plan 1,Room_Type 4,40,2018-04-22,Online,135.76,Canceled,2018
INN00118,2,1,2,5,Meal Plan 1,Room_Type 1,105,2018-11-12,Online,102.83,Not_Canceled,2018
INN00119,2,0,0,1,Meal Plan 1,Room_Type 1,443,2018-04-29,Online,65,Canceled,2018
INN00120,2,0,2,3,Meal Plan 1,Room_Type 1,2,2017-11-14,Online,103,Not_Canceled,2017
INN00121,2,0,0,3,Meal Plan 1,Room_Type 1,317,2018-09-01,Online,106.2,Canceled,2018
INN00122,2,0,0,2,Meal Plan 2,Room_Type 1,286,2018-09-16,Offline,58.5,Not_Canceled,2018
INN00123,2,0,1,3,Meal Plan 1,Room_Type 1,68,2018-03-10,Online,73.95,Canceled,2018
INN00124,2,0,0,3,Meal Plan 1,Room_Type 1,148,2018-05-05,Online,105.3,Not_Canceled,2018
INN00125,3,0,2,0,Meal Plan 1,Room_Type 4,68,2018-04-24,Online,133.2,Not_Canceled,2018
INN00126,2,0,0,2,Meal Plan 1,Room_Type 1,30,2018-03-30,Offline,85.5,Not_Canceled,2018
INN00127,1,0,0,1,Meal Plan 1,Room_Type 1,14,2018-11-03,Online,112,Canceled,2018
INN00128,2,2,0,2,Meal Plan 1,Room_Type 6,110,2018-10-14,Online,190.8,Canceled,2018
INN00129,1,0,2,3,Meal Plan 1,Room_Type 1,117,2018-06-05,Offline,110,Not_Canceled,2018
INN00130,2,0,1,4,Meal Plan 1,Room_Type 4,85,2018-07-13,Online,91.48,Not_Canceled,2018
INN00131,2,0,0,2,Not Selected,Room_Type 1,1,2018-10-20,Online,135,Not_Canceled,2018
INN00132,1,0,1,2,Meal Plan 1,Room_Type 1,25,2018-10-17,Online,129,Not_Canceled,2018
INN00133,2,0,2,4,Not Selected,Room_Type 1,289,2018-12-28,Online,70.55,Canceled,2018
INN00134,2,0,1,4,Meal Plan 1,Room_Type 4,28,2017-10-19,Offline,75,Not_Canceled,2017
INN00135,1,0,0,4,Not Selected,Room_Type 1,80,2018-03-29,Online,72.25,Not_Canceled,2018
INN00136,2,0,0,1,Meal Plan 1,Room_Type 4,11,2017-10-09,Online,155,Not_Canceled,2017
INN00137,2,1,1,0,Meal Plan 1,Room_Type 1,162,2018-07-25,Online,121.5,Canceled,2018
INN00138,2,0,2,5,Meal Plan 1,Room_Type 1,155,2018-06-28,Online,90.95,Not_Canceled,2018
INN00139,1,0,2,2,Meal Plan 1,Room_Type 1,82,2018-05-22,Online,109.65,Not_Canceled,2018
INN00140,3,0,2,4,Meal Plan 1,Room_Type 4,27,2018-04-15,Online,142.72,Canceled,2018
INN00141,1,0,1,2,Meal Plan 1,Room_Type 1,13,2018-05-09,Offline,90,Not_Canceled,2018
INN00142,2,0,0,2,Meal Plan 1,Room_Type 1,245,2018-06-17,Online,75,Canceled,2018
INN00143,2,0,0,2,Meal Plan 1,Room_Type 1,11,2018-11-18,Online,111,Canceled,2018
INN00144,2,0,2,2,Meal Plan 1,Room_Type 1,266,2018-10-30,Online,86.7,Not_Canceled,2018
INN00145,2,0,1,0,Meal Plan 1,Room_Type 1,39,2018-03-28,Online,117.9,Not_Canceled,2018
INN00146,1,0,0,2,Meal Plan 1,Room_Type 1,13,2018-06-01,Complementary,0,Not_Canceled,2018
INN00147,2,0,0,4,Not Selected,Room_Type 1,112,2018-05-04,Online,101.58,Not_Canceled,2018
INN00148,2,0,1,2,Not Selected,Room_Type 1,88,2018-04-08,Online,58.9,Not_Canceled,2018
INN00149,2,0,0,1,Meal Plan 1,Room_Type 1,56,2018-06-08,Offline,120,Not_Canceled,2018
INN00150,2,0,2,3,Meal Plan 1,Room_Type 4,73,2018-04-07,Online,107.1,Canceled,2018
INN00151,2,0,1,1,Meal Plan 1,Room_Type 1,80,2018-05-02,Online,126.9,Not_Canceled,2018
INN00152,2,0,0,3,Meal Plan 1,Room_Type 4,130,2018-09-29,Online,139.5,Canceled,2018
INN00153,2,0,1,3,Not Selected,Room_Type 1,69,2018-04-04,Online,80.75,Not_Canceled,2018
INN00154,2,0,0,2,Meal Plan 2,Room_Type 1,273,2017-07-17,Online,109,Canceled,2017
INN00155,2,0,0,1,Meal Plan 2,Room_Type 1,55,2018-04-06,Offline,104,Not_Canceled,2018
INN00156,1,0,0,3,Meal Plan 1,Room_Type 1,4,2018-11-01,Corporate,65,Not_Canceled,2018
INN00157,2,0,0,3,Meal Plan 1,Room_Type 4,97,2018-05-24,Online,140.4,Not_Canceled,2018
INN00158,2,0,0,3,Meal Plan 1,Room_Type 1,44,2018-02-17,Offline,75,Not_Canceled,2018
INN00159,2,0,0,1,Not Selected,Room_Type 1,31,2018-04-14,Online,94.5,Canceled,2018
INN00160,2,0,1,0,Not Selected,Room_Type 1,0,2018-06-05,Online,109,Not_Canceled,2018
INN00161,2,0,2,2,Meal Plan 1,Room_Type 1,62,2018-11-12,Online,105,Not_Canceled,2018
INN00162,2,0,2,2,Meal Plan 1,Room_Type 4,86,2018-04-17,Online,107.95,Not_Canceled,2018
INN00163,3,0,2,2,Meal Plan 1,Room_Type 7,3,2018-10-07,Online,215.6,Not_Canceled,2018
INN00164,2,0,1,1,Not Selected,Room_Type 1,197,2018-08-01,Online,85.5,Not_Canceled,2018
INN00165,2,0,0,2,Meal Plan 1,Room_Type 1,143,2018-07-12,Online,105.3,Not_Canceled,2018
INN00166,1,0,2,1,Meal Plan 2,Room_Type 1,23,2018-01-02,Online,1,Not_Canceled,2018
INN00167,2,0,0,2,Meal Plan 1,Room_Type 4,8,2018-06-15,Online,156,Canceled,2018
INN00168,1,0,0,2,Meal Plan 1,Room_Type 1,13,2018-11-16,Online,73.15,Not_Canceled,2018
INN00169,2,0,1,2,Meal Plan 1,Room_Type 1,280,2018-09-19,Online,110,Canceled,2018
INN00170,2,1,1,0,Not Selected,Room_Type 1,11,2017-09-13,Online,87.4,Not_Canceled,2017
INN00171,2,0,0,2,Meal Plan 1,Room_Type 1,317,2018-09-15,Online,120,Canceled,2018
INN00172,2,0,1,2,Not Selected,Room_Type 1,185,2018-12-16,Online,79.2,Canceled,2018
INN00173,2,0,1,3,Meal Plan 1,Room_Type 1,160,2018-06-30,Online,90.95,Not_Canceled,2018
INN00174,2,0,0,4,Meal Plan 1,Room_Type 1,104,2018-10-18,Online,91.48,Not_Canceled,2018
INN00175,2,1,0,1,Meal Plan 1,Room_Type 1,11,2018-11-05,Online,150,Canceled,2018
INN00176,2,0,0,1,Not Selected,Room_Type 1,2,2018-03-22,Online,89,Not_Canceled,2018
INN00177,2,0,1,4,Not Selected,Room_Type 1,14,2018-08-17,Online,91.43,Not_Canceled,2018
INN00178,2,0,0,2,Meal Plan 1,Room_Type 1,22,2018-05-20,Offline,140,Not_Canceled,2018
INN00179,1,1,2,5,Not Selected,Room_Type 1,37,2017-10-24,Online,87.78,Not_Canceled,2017
INN00180,2,0,0,2,Meal Plan 2,Room_Type 1,292,2018-07-21,Online,115,Canceled,2018
INN00181,2,0,0,3,Meal Plan 1,Room_Type 1,11,2017-09-09,Online,80.85,Not_Canceled,2017
INN00182,2,0,1,3,Meal Plan 1,Room_Type 1,86,2018-03-31,Online,82.45,Not_Canceled,2018
INN00183,2,0,0,1,Not Selected,Room_Type 1,109,2018-10-11,Online,108,Canceled,2018
INN00184,2,0,1,1,Meal Plan 1,Room_Type 4,72,2018-04-02,Online,96.3,Not_Canceled,2018
INN00185,2,0,1,5,Meal Plan 1,Room_Type 1,196,2018-08-22,Online,99.45,Canceled,2018
INN00186,2,0,0,2,Meal Plan 1,Room_Type 4,56,2018-05-13,Online,140.4,Not_Canceled,2018
INN00187,2,0,1,3,Meal Plan 1,Room_Type 1,189,2018-08-08,Offline,72.25,Not_Canceled,2018
INN00188,2,0,1,4,Meal Plan 1,Room_Type 4,126,2018-08-15,Online,126,Not_Canceled,2018
INN00189,2,0,2,3,Meal Plan 1,Room_Type 1,303,2018-08-19,Online,78,Canceled,2018
INN00190,1,0,2,2,Meal Plan 1,Room_Type 4,81,2018-11-06,Online,146.6,Not_Canceled,2018
INN00191,2,0,1,2,Meal Plan 1,Room_Type 1,54,2018-10-10,Online,118.8,Canceled,2018
INN00192,1,0,0,1,Meal Plan 1,Room_Type 1,15,2018-10-06,Online,145,Canceled,2018
INN00193,2,0,0,4,Meal Plan 1,Room_Type 1,86,2018-04-06,Online,84.58,Canceled,2018
INN00194,2,0,1,2,Meal Plan 2,Room_Type 1,161,2018-03-25,Online,130,Canceled,2018
INN00195,2,0,4,10,Meal Plan 1,Room_Type 4,147,2018-08-03,Online,118.88,Canceled,2018
INN00196,2,0,1,2,Meal Plan 1,Room_Type 1,92,2018-05-30,Offline,101.52,Not_Canceled,2018
INN00197,2,0,0,1,Meal Plan 1,Room_Type 1,87,2017-09-11,Corporate,100,Canceled,2017
INN00198,2,0,2,1,Meal Plan 1,Room_Type 1,109,2018-03-20,Offline,58,Not_Canceled,2018
INN00199,2,0,0,4,Meal Plan 1,Room_Type 1,127,2018-03-23,Offline,61.5,Not_Canceled,2018
INN00200,2,0,1,2,Meal Plan 2,Room_Type 1,418,2018-09-26,Online,107,Canceled,2018
INN00201,2,0,1,4,Not Selected,Room_Type 1,156,2018-08-24,Online,87.3,Not_Canceled,2018
INN00202,2,0,0,2,Meal Plan 1,Room_Type 1,80,2017-07-16,Online,76.5,Canceled,2017
INN00203,2,0,2,2,Not Selected,Room_Type 1,211,2018-12-16,Online,63.75,Canceled,2018
INN00204,2,0,1,2,Meal Plan 1,Room_Type 1,273,2018-05-13,Online,95,Canceled,2018
INN00205,2,0,2,1,Meal Plan 1,Room_Type 1,58,2018-11-19,Offline,75,Not_Canceled,2018
INN00206,2,0,0,3,Meal Plan 1,Room_Type 1,433,2018-09-08,Online,70,Canceled,2018
INN00207,2,0,1,3,Meal Plan 1,Room_Type 1,111,2018-05-02,Online,101.58,Not_Canceled,2018
INN00208,2,0,2,3,Meal Plan 1,Room_Type 1,34,2018-08-21,Offline,85,Not_Canceled,2018
INN00209,2,0,2,4,Meal Plan 1,Room_Type 1,17,2018-12-03,Online,98.39,Not_Canceled,2018
INN00210,1,0,0,0,Meal Plan 1,Room_Type 1,4,2018-02-27,Complementary,0,Not_Canceled,2018
INN00211,2,0,0,3,Meal Plan 1,Room_Type 1,6,2017-09-22,Online,106.07,Not_Canceled,2017
INN00212,2,0,1,1,Meal Plan 1,Room_Type 1,32,2018-07-18,Offline,105,Not_Canceled,2018
INN00213,2,0,0,1,Meal Plan 1,Room_Type 1,4,2017-09-22,Online,145,Not_Canceled,2017
INN00214,3,0,2,1,Meal Plan 1,Room_Type 1,195,2018-08-13,Online,106.03,Canceled,2018
INN00215,2,0,2,2,Meal Plan 1,Room_Type 1,119,2018-08-13,Online,114.3,Not_Canceled,2018
INN00216,1,0,1,1,Not Selected,Room_Type 1,13,2018-12-05,Online,88,Not_Canceled,2018
INN00217,2,0,0,2,Meal Plan 1,Room_Type 1,59,2017-10-15,Online,89.25,Not_Canceled,2017
INN00218,2,1,2,5,Meal Plan 1,Room_Type 4,78,2018-03-20,Online,86.32,Not_Canceled,2018
INN00219,2,0,0,3,Meal Plan 1,Room_Type 1,335,2018-10-13,Offline,90,Not_Canceled,2018
INN00220,2,0,2,5,Meal Plan 1,Room_Type 1,103,2017-08-22,Online,55.96,Not_Canceled,2017
INN00221,1,0,0,2,Not Selected,Room_Type 1,0,2018-06-08,Online,109,Not_Canceled,2018
INN00222,2,0,0,1,Meal Plan 1,Room_Type 1,118,2018-03-01,Offline,86,Not_Canceled,2018
INN00223,2,0,1,5,Meal Plan 1,Room_Type 1,56,2018-09-05,Online,118.95,Not_Canceled,2018
INN00224,2,0,0,2,Meal Plan 1,Room_Type 1,107,2018-06-10,Offline,130,Not_Canceled,2018
INN00225,2,0,1,3,Not Selected,Room_Type 1,70,2018-04-14,Online,90.56,Not_Canceled,2018
INN00226,2,0,0,2,Meal Plan 1,Room_Type 1,76,2018-04-01,Online,87.3,Not_Canceled,2018
INN00227,2,2,2,2,Meal Plan 1,Room_Type 6,144,2018-05-27,Online,177.65,Canceled,2018
INN00228,1,2,2,2,Meal Plan 1,Room_Type 6,4,2017-09-19,Online,200.75,Not_Canceled,2017
INN00229,2,1,0,2,Meal Plan 1,Room_Type 1,15,2018-03-18,Online,127,Not_Canceled,2018
INN00230,1,0,1,2,Meal Plan 1,Room_Type 1,32,2018-02-05,Online,72.9,Canceled,2018
INN00231,3,0,1,1,Meal Plan 1,Room_Type 4,49,2018-05-07,Online,159.3,Canceled,2018
